0.00, 0.46, 0.77
0.01, 0.46, 0.77
0.02, 0.47, 0.78
0.03, 0.47, 0.78
0.04, 0.46, 0.78
0.05, 0.46, 0.78
0.06, 0.46, 0.78
0.07, 0.47, 0.78
0.07, 0.47, 0.78
0.08, 0.47, 0.78
0.09, 0.47, 0.78
0.10, 0.46, 0.78
0.11, 0.47, 0.78
0.12, 0.46, 0.78
0.13, 0.47, 0.78
0.14, 0.46, 0.78
0.15, 0.46, 0.78
0.16, 0.47, 0.78
0.17, 0.47, 0.78
0.18, 0.46, 0.77
0.19, 0.46, 0.77
0.20, 0.46, 0.77
0.21, 0.45, 0.77
0.22, 0.45, 0.77
0.22, 0.45, 0.77
0.23, 0.46, 0.77
0.24, 0.46, 0.77
0.25, 0.46, 0.77
0.26, 0.46, 0.77
0.27, 0.46, 0.77
0.28, 0.46, 0.77
0.29, 0.46, 0.78
0.30, 0.47, 0.78
0.31, 0.46, 0.78
0.32, 0.46, 0.78
0.33, 0.47, 0.78
0.34, 0.46, 0.78
0.35, 0.46, 0.78
0.36, 0.46, 0.77
0.37, 0.46, 0.76
0.37, 0.44, 0.76
0.38, 0.45, 0.76
0.39, 0.45, 0.76
0.40, 0.45, 0.77
0.41, 0.45, 0.77
0.42, 0.45, 0.76
0.43, 0.45, 0.76
0.44, 0.45, 0.76
0.45, 0.45, 0.76
0.46, 0.45, 0.76
0.47, 0.46, 0.76
0.48, 0.46, 0.77
0.49, 0.46, 0.77
0.50, 0.46, 0.77
0.51, 0.46, 0.77
0.52, 0.46, 0.77
0.52, 0.46, 0.77
0.53, 0.46, 0.77
0.54, 0.46, 0.77
0.55, 0.47, 0.78
0.56, 0.47, 0.78
0.57, 0.47, 0.78
0.58, 0.47, 0.78
0.59, 0.48, 0.79
0.60, 0.48, 0.79
0.61, 0.49, 0.80
0.62, 0.48, 0.80
0.63, 0.48, 0.79
0.64, 0.48, 0.80
0.65, 0.48, 0.81
0.66, 0.49, 0.80
0.67, 0.49, 0.80
0.67, 0.50, 0.81
0.68, 0.50, 0.81
0.69, 0.50, 0.81
0.70, 0.51, 0.82
0.71, 0.51, 0.82
0.72, 0.50, 0.81
0.73, 0.50, 0.81
0.74, 0.50, 0.82
0.75, 0.51, 0.82
0.76, 0.51, 0.82
0.77, 0.51, 0.82
0.78, 0.51, 0.82
0.79, 0.50, 0.82
0.80, 0.51, 0.82
0.81, 0.51, 0.82
0.82, 0.51, 0.82
0.82, 0.51, 0.83
0.83, 0.51, 0.83
0.84, 0.52, 0.83
0.85, 0.51, 0.83
0.86, 0.51, 0.83
0.87, 0.52, 0.84
0.88, 0.53, 0.84
0.89, 0.53, 0.84
0.90, 0.53, 0.84
0.91, 0.53, 0.85
0.92, 0.53, 0.85
0.93, 0.53, 0.85
0.94, 0.54, 0.85
0.95, 0.54, 0.86
0.96, 0.54, 0.86
0.97, 0.54, 0.85
0.97, 0.54, 0.85
0.98, 0.54, 0.85
0.99, 0.54, 0.85
1.00, 0.54, 0.86
1.01, 0.54, 0.86
1.02, 0.54, 0.86
1.03, 0.54, 0.86
1.04, 0.54, 0.86
1.05, 0.54, 0.86
1.06, 0.55, 0.87
1.07, 0.55, 0.85
1.08, 0.55, 0.87
1.09, 0.55, 0.87
1.10, 0.55, 0.87
1.11, 0.56, 0.87
1.12, 0.55, 0.88
1.12, 0.56, 0.88
1.13, 0.56, 0.88
1.14, 0.56, 0.88
1.15, 0.57, 0.89
1.16, 0.57, 0.89
1.17, 0.57, 0.89
1.18, 0.57, 0.90
1.19, 0.57, 0.90
1.20, 0.57, 0.89
1.21, 0.57, 0.89
1.22, 0.57, 0.89
1.23, 0.57, 0.90
1.24, 0.57, 0.90
1.25, 0.57, 0.89
1.26, 0.57, 0.90
1.27, 0.59, 0.89
1.27, 0.61, 0.90
1.28, 0.57, 0.89
1.29, 0.65, 0.90
1.30, 0.57, 0.89
1.31, 0.59, 0.90
1.32, 0.57, 0.88
1.33, 0.57, 0.89
1.34, 0.57, 0.88
1.35, 0.56, 0.89
1.36, 0.56, 0.88
1.37, 0.57, 0.90
1.38, 0.57, 0.87
1.39, 0.56, 0.90
1.40, 0.55, 0.86
1.41, 0.56, 0.89
1.42, 0.57, 0.85
1.42, 0.56, 0.90
