0.00, 0.67, 1.00
0.01, 0.68, 1.01
0.02, 0.69, 1.02
0.03, 0.70, 1.03
0.04, 0.70, 1.03
0.05, 0.70, 1.03
0.05, 0.71, 1.04
0.06, 0.71, 1.04
0.07, 0.70, 1.04
0.08, 0.70, 1.04
0.09, 0.70, 1.03
0.10, 0.68, 1.02
0.11, 0.68, 1.02
0.12, 0.68, 1.02
0.13, 0.68, 1.02
0.14, 0.69, 1.02
0.14, 0.68, 1.02
0.15, 0.68, 1.02
0.16, 0.68, 1.02
0.17, 0.68, 1.02
0.18, 0.68, 1.03
0.19, 0.70, 1.03
0.20, 0.71, 1.03
0.21, 0.70, 1.04
0.22, 0.71, 1.04
0.23, 0.71, 1.05
0.23, 0.72, 1.05
0.24, 0.73, 1.06
0.25, 0.73, 1.07
0.26, 0.73, 1.07
0.27, 0.74, 1.07
0.28, 0.74, 1.08
0.29, 0.74, 1.08
0.30, 0.76, 1.10
0.31, 0.76, 1.10
0.32, 0.76, 1.11
0.32, 0.77, 1.11
0.33, 0.77, 1.10
0.34, 0.76, 1.10
0.35, 0.77, 1.11
0.36, 0.78, 1.10
0.37, 0.77, 1.11
0.38, 0.77, 1.11
0.39, 0.76, 1.11
0.40, 0.76, 1.11
0.41, 0.77, 1.11
0.41, 0.77, 1.11
0.42, 0.78, 1.12
0.43, 0.77, 1.12
0.44, 0.78, 1.12
0.45, 0.78, 1.11
0.46, 0.77, 1.11
0.47, 0.77, 1.11
0.48, 0.76, 1.10
0.49, 0.77, 1.11
0.50, 0.77, 1.11
0.50, 0.78, 1.12
0.51, 0.79, 1.13
0.52, 0.79, 1.14
0.53, 0.80, 1.15
0.54, 0.81, 1.16
0.55, 0.82, 1.16
0.56, 0.82, 1.17
0.57, 0.82, 1.17
0.58, 0.82, 1.17
0.59, 0.81, 1.17
0.59, 0.82, 1.17
0.60, 0.83, 1.17
0.61, 0.84, 1.19
0.62, 0.85, 1.20
0.63, 0.84, 1.20
0.64, 0.84, 1.19
0.65, 0.83, 1.18
0.66, 0.84, 1.18
0.67, 0.84, 1.18
0.68, 0.84, 1.19
0.68, 0.85, 1.20
0.69, 0.85, 1.21
0.70, 0.86, 1.21
0.71, 0.86, 1.21
0.72, 0.86, 1.21
0.73, 0.87, 1.21
0.74, 0.86, 1.21
0.75, 0.87, 1.22
0.76, 0.88, 1.23
0.77, 0.88, 1.23
0.77, 0.87, 1.22
0.78, 0.87, 1.22
0.79, 0.86, 1.22
0.80, 0.86, 1.21
0.81, 0.85, 1.21
0.82, 0.88, 1.22
0.83, 0.87, 1.23
0.84, 0.88, 1.24
0.85, 0.87, 1.25
0.86, 0.90, 1.26
0.86, 0.89, 1.25
0.87, 0.89, 1.24
0.88, 0.88, 1.23
0.89, 0.88, 1.24
0.90, 0.89, 1.24
0.91, 0.89, 1.25
0.92, 0.89, 1.25
0.93, 0.90, 1.25
0.94, 0.91, 1.25
0.95, 0.90, 1.26
0.95, 0.91, 1.26
0.96, 0.92, 1.28
0.97, 0.94, 1.28
0.98, 0.93, 1.29
0.99, 0.93, 1.29
1.00, 0.93, 1.29
1.01, 0.94, 1.31
1.02, 0.94, 1.28
1.03, 0.93, 1.29
1.04, 0.95, 1.30
1.05, 0.95, 1.31
1.05, 0.95, 1.31
1.06, 0.95, 1.32
1.07, 0.95, 1.32
1.08, 0.96, 1.32
1.09, 0.97, 1.33
1.10, 0.98, 1.35
1.11, 0.99, 1.35
1.12, 0.98, 1.34
1.13, 0.98, 1.35
1.14, 0.97, 1.33
1.14, 0.97, 1.34
1.15, 0.98, 1.34
1.16, 0.96, 1.34
1.17, 0.97, 1.34
1.18, 0.98, 1.34
1.19, 0.98, 1.35
1.20, 0.98, 1.35
1.21, 0.98, 1.35
1.22, 0.99, 1.36
1.23, 1.00, 1.36
1.23, 0.99, 1.36
1.24, 1.00, 1.37
1.25, 1.00, 1.36
1.26, 0.99, 1.36
1.27, 0.99, 1.36
1.28, 1.01, 1.37
1.29, 1.01, 1.38
1.30, 1.01, 1.38
1.31, 1.02, 1.39
1.32, 1.01, 1.38
1.32, 1.02, 1.39
1.33, 1.03, 1.40
1.34, 1.03, 1.40
1.35, 1.03, 1.40
1.36, 1.03, 1.41
1.37, 1.03, 1.41
1.38, 1.04, 1.42
1.39, 1.05, 1.42
1.40, 1.05, 1.43
1.41, 1.06, 1.44
1.41, 1.06, 1.43
1.42, 1.05, 1.44
1.43, 1.06, 1.43
1.44, 1.05, 1.43
1.45, 1.05, 1.43
1.46, 1.05, 1.43
1.47, 1.06, 1.43
1.48, 1.06, 1.43
1.49, 1.07, 1.44
1.50, 1.07, 1.44
1.50, 1.06, 1.44
1.51, 1.07, 1.45
1.52, 1.08, 1.46
1.53, 1.09, 1.47
1.54, 1.10, 1.47
1.55, 1.09, 1.49
1.56, 1.09, 1.47
1.57, 1.08, 1.46
1.58, 1.09, 1.47
1.59, 1.09, 1.47
1.59, 1.10, 1.48
1.60, 1.11, 1.48
1.61, 1.11, 1.48
1.62, 1.11, 1.49
1.63, 1.12, 1.50
1.64, 1.11, 1.50
1.65, 1.11, 1.49
1.66, 1.11, 1.49
1.67, 1.11, 1.50
1.68, 1.12, 1.50
1.68, 1.12, 1.51
1.69, 1.14, 1.52
1.70, 1.13, 1.53
1.71, 1.14, 1.52
1.72, 1.13, 1.52
1.73, 1.13, 1.52
1.74, 1.13, 1.52
1.75, 1.13, 1.52
1.76, 1.13, 1.52
1.77, 1.14, 1.53
1.77, 1.15, 1.53
1.78, 1.15, 1.53
1.79, 1.15, 1.53
1.80, 1.17, 1.55
1.81, 1.17, 1.56
1.82, 1.18, 1.56
1.83, 1.18, 1.57
1.84, 1.18, 1.57
1.85, 1.17, 1.56
1.86, 1.17, 1.56
