31440356, 602, 381, 381, 1019
31443692, 604, 405, 393, 1023
31447028, 603, 407, 392, 1021
31450365, 602, 404, 392, 1023
31453701, 603, 396, 385, 1023
31457037, 601, 373, 373, 1023
31460373, 603, 403, 380, 1017
31463710, 601, 404, 391, 1023
31467046, 616, 411, 401, 1023
31470382, 604, 388, 347, 1023
31473718, 594, 374, 372, 1023
31477054, 606, 395, 394, 1023
31480391, 600, 400, 409, 1023
31483727, 616, 412, 418, 1023
31487063, 603, 401, 380, 1018
31490399, 602, 378, 377, 1020
31493735, 606, 400, 388, 1013
31497072, 602, 390, 401, 1020
31500408, 604, 414, 404, 1017
31503744, 603, 401, 383, 1017
31507080, 605, 392, 390, 1017
31510416, 604, 409, 406, 1023
31513753, 606, 424, 418, 1023
31517089, 602, 412, 410, 1023
31520425, 618, 383, 391, 1014
31523772, 603, 376, 363, 1023
31527108, 602, 347, 381, 1016
31530444, 602, 396, 395, 1023
31533780, 602, 390, 385, 1023
31537116, 602, 385, 374, 1023
31540453, 608, 368, 385, 1022
31543789, 602, 400, 387, 1022
31547125, 604, 417, 360, 1020
31550461, 607, 411, 371, 1017
31553797, 602, 405, 368, 1016
31557134, 608, 396, 364, 1023
31560470, 602, 399, 388, 1023
31563806, 586, 422, 407, 1017
31567142, 604, 420, 398, 1023
31570478, 600, 403, 375, 1023
31573815, 602, 388, 388, 1014
31577151, 601, 400, 404, 1023
31580487, 596, 421, 414, 1022
31583823, 593, 399, 410, 1020
31587159, 605, 386, 394, 1018
31590497, 604, 375, 383, 1022
31593836, 609, 387, 380, 1018
31597172, 594, 394, 400, 1023
31600508, 603, 406, 406, 1023
31603844, 603, 401, 401, 1023
31607186, 601, 390, 401, 1023
31610524, 607, 396, 362, 1015
31613860, 604, 371, 389, 1021
31617196, 603, 391, 403, 1023
31620532, 593, 372, 384, 1017
31623869, 603, 376, 333, 1023
31627205, 599, 387, 376, 1023
31630541, 601, 401, 401, 1023
31633877, 603, 359, 383, 1023
31637214, 602, 367, 380, 1017
31640550, 604, 380, 387, 1023
31643886, 602, 375, 395, 1023
31647222, 599, 409, 412, 1011
31650559, 602, 399, 389, 1019
31653895, 603, 380, 381, 1016
31657231, 603, 366, 369, 1013
31660567, 602, 387, 385, 1020
31663903, 600, 410, 405, 1020
31667240, 602, 422, 406, 1022
31670576, 629, 385, 388, 1023
31673912, 603, 379, 380, 1023
31677248, 603, 377, 389, 1020
31680584, 605, 400, 411, 1023
31683921, 601, 397, 406, 1019
31687257, 603, 380, 399, 1017
31690593, 608, 372, 392, 1023
31693929, 601, 338, 400, 1016
31697265, 606, 386, 367, 1023
31700601, 603, 384, 306, 1023
31703938, 608, 366, 355, 1018
31707274, 603, 368, 374, 1020
31710610, 601, 370, 389, 1023
31713946, 604, 404, 409, 1023
31717282, 600, 408, 369, 1023
31720619, 596, 388, 329, 1023
31723955, 603, 384, 362, 1023
31727291, 600, 352, 396, 1023
31730627, 602, 401, 395, 1023
31733963, 587, 353, 380, 1023
31737299, 601, 355, 381, 1017
31740636, 602, 336, 379, 1023
31743972, 604, 379, 385, 1019
31747308, 600, 400, 409, 1021
31750644, 606, 395, 395, 1023
31753980, 601, 384, 344, 1012
31757317, 603, 360, 376, 1018
31760653, 630, 378, 401, 1017
31763989, 604, 402, 409, 1021
31767325, 600, 415, 387, 1023
31770661, 638, 386, 371, 1013
31773997, 585, 396, 369, 1023
31777335, 602, 383, 385, 1017
31780672, 604, 405, 354, 1018
31784008, 604, 409, 382, 1023
31787344, 602, 394, 381, 1023
31790680, 609, 378, 384, 1023
31794023, 602, 392, 404, 1013
31797359, 603, 408, 372, 1012
31800695, 604, 403, 389, 1012
31804032, 603, 403, 380, 1023
31807368, 603, 395, 364, 1023
31810704, 604, 386, 383, 1017
31814041, 603, 402, 400, 1020
31817377, 603, 393, 387, 1018
31820713, 606, 390, 385, 1020
31824049, 606, 381, 379, 1023
31827385, 603, 396, 388, 1021
31830721, 607, 391, 387, 1017
31834058, 607, 375, 386, 1013
31837394, 602, 375, 383, 1023
31840730, 595, 363, 390, 1023
31844067, 591, 344, 380, 1015
31847403, 607, 379, 389, 1022
31850739, 607, 398, 401, 1023
31854075, 640, 397, 390, 1023
31857411, 602, 378, 378, 1022
31860748, 628, 404, 399, 1023
31864084, 609, 403, 412, 1023
31867420, 602, 393, 389, 1023
31870756, 602, 379, 376, 1020
31874092, 604, 375, 380, 1023
31877439, 602, 394, 397, 1023
31880775, 604, 412, 393, 1016
31884112, 602, 419, 399, 1021
31887448, 601, 389, 386, 1016
31890784, 603, 385, 377, 1023
31894120, 620, 401, 401, 1020
31897457, 605, 402, 401, 1023
31900793, 607, 393, 402, 1023
31904129, 602, 366, 358, 1017
31907465, 628, 369, 375, 1020
31910801, 603, 394, 390, 1014
31914137, 607, 416, 390, 1023
31917473, 600, 413, 381, 1023
31920810, 604, 397, 384, 1023
31924146, 602, 393, 383, 1023
31927482, 603, 413, 404, 1020
31930818, 606, 412, 361, 1023
31934154, 601, 400, 375, 1018
31937490, 599, 383, 381, 1023
31940827, 603, 389, 381, 1023
31944163, 605, 402, 407, 1023
31947501, 601, 416, 411, 1019
31950837, 601, 406, 417, 1020
31954173, 616, 397, 378, 1023
31957509, 603, 375, 381, 1023
31960845, 606, 379, 395, 1023
31964188, 603, 356, 375, 1023
31967527, 605, 366, 378, 1022
31970863, 603, 372, 333, 1023
31974199, 602, 381, 357, 1018
31977536, 604, 403, 374, 1016
31980872, 602, 400, 392, 1021
31984208, 602, 364, 387, 1020
31987544, 606, 365, 387, 1023
31990881, 604, 385, 385, 1023
31994217, 611, 392, 399, 1023
31997553, 608, 418, 419, 1023
32000889, 602, 421, 402, 1023
32004226, 604, 407, 377, 1023
32007562, 614, 389, 377, 1023
32010898, 591, 406, 388, 1023
32014234, 606, 411, 386, 1023
32017570, 604, 404, 389, 1022
32020907, 622, 397, 388, 1018
32024243, 605, 378, 375, 1023
32027579, 604, 396, 395, 1018
32030915, 603, 399, 413, 1023
32034252, 601, 406, 415, 1023
32037588, 604, 403, 387, 1023
32040924, 603, 387, 385, 1017
32044260, 607, 398, 405, 1023
32047596, 621, 417, 402, 1023
32050943, 607, 418, 411, 1017
32054279, 603, 397, 380, 1023
32057615, 602, 391, 384, 1023
32060952, 601, 389, 385, 1022
32064288, 621, 407, 383, 1023
32067624, 609, 403, 393, 1023
32070960, 608, 395, 376, 1023
32074296, 625, 390, 389, 1023
32077633, 602, 395, 389, 1016
32080969, 601, 409, 397, 1023
32084305, 602, 411, 380, 1023
32087641, 615, 394, 363, 1023
32090978, 595, 383, 374, 1014
32094314, 606, 396, 405, 1023
32097650, 609, 413, 391, 1023
32100986, 603, 407, 380, 1020
32104322, 606, 392, 377, 1016
32107658, 604, 345, 374, 1023
32110995, 603, 374, 399, 1021
32114333, 602, 410, 417, 1023
32117670, 602, 389, 401, 1016
32121006, 603, 376, 386, 1022
32124342, 605, 375, 367, 1023
32127679, 601, 383, 383, 1020
32131021, 592, 393, 403, 1023
32134360, 593, 401, 399, 1014
32137696, 606, 394, 388, 1021
32141032, 606, 342, 372, 1023
32144369, 605, 360, 399, 1016
32147705, 602, 396, 404, 1023
32151041, 592, 389, 389, 1023
32154377, 605, 385, 386, 1023
32157714, 606, 364, 389, 1018
32161050, 605, 392, 414, 1017
32164386, 602, 414, 421, 1021
32167722, 606, 415, 407, 1023
32171058, 604, 393, 374, 1023
32174395, 602, 391, 386, 1016
32177731, 601, 395, 406, 1023
32181067, 606, 405, 402, 1023
32184403, 604, 404, 405, 1016
32187739, 602, 391, 385, 1023
32191076, 601, 389, 392, 1023
32194412, 605, 393, 391, 1023
32197748, 603, 415, 394, 1015
32201084, 603, 393, 401, 1015
32204420, 607, 381, 383, 1022
32207757, 613, 391, 376, 1021
32211093, 602, 401, 395, 1023
32214439, 612, 422, 396, 1016
32217776, 603, 404, 391, 1018
32221112, 602, 390, 386, 1016
32224448, 602, 371, 366, 1017
32460386, 607, 603, 329, 363
32463722, 603, 398, 386, 1023
32467058, 601, 411, 391, 1022
32470394, 626, 394, 379, 1023
32473730, 603, 389, 376, 1016
32477067, 607, 396, 385, 1023
32480403, 603, 417, 391, 1022
32483739, 603, 424, 402, 1023
32487075, 604, 416, 394, 1023
32490411, 604, 398, 383, 1023
32493748, 601, 396, 363, 1018
32497084, 603, 405, 391, 1016
32500420, 606, 390, 379, 1020
32503756, 622, 374, 359, 1021
32507092, 605, 382, 368, 1023
32510429, 602, 401, 379, 1016
32513776, 602, 422, 412, 1023
32517112, 599, 410, 394, 1017
32520448, 601, 390, 380, 1023
32523784, 617, 332, 393, 1023
32527120, 583, 371, 396, 1016
32530457, 604, 392, 398, 1023
32533793, 602, 410, 387, 1023
32537129, 606, 406, 380, 1018
32540465, 603, 380, 383, 1023
32543801, 630, 400, 406, 1019
32547138, 602, 416, 420, 1023
32550474, 602, 416, 379, 1023
32553810, 603, 401, 384, 1019
32557146, 605, 391, 389, 1023
32560482, 632, 397, 395, 1021
32563819, 604, 402, 371, 1022
32567155, 605, 399, 391, 1020
32570491, 605, 380, 376, 1023
32573827, 602, 380, 377, 1023
32577163, 604, 401, 399, 1020
32580501, 618, 419, 400, 1017
32583838, 594, 413, 392, 1023
32587174, 604, 393, 385, 1023
32590510, 607, 386, 393, 1023
32593846, 593, 404, 388, 1019
32597189, 603, 417, 411, 1023
32600526, 604, 396, 411, 1023
32603863, 610, 391, 401, 1021
32607199, 602, 367, 374, 1018
32610535, 615, 384, 399, 1023
32613871, 602, 398, 399, 1023
32617208, 603, 404, 386, 1023
32620544, 638, 384, 389, 1023
32623880, 601, 367, 379, 1017
32627216, 604, 385, 387, 1016
32630552, 603, 395, 400, 1017
32633889, 603, 354, 386, 1023
32637225, 629, 360, 396, 1023
32640561, 603, 361, 383, 1023
32643897, 634, 386, 397, 1012
32647234, 607, 405, 417, 1023
32650570, 605, 399, 399, 1018
32653906, 603, 375, 370, 1023
32657242, 601, 360, 388, 1023
32660579, 596, 379, 384, 1023
32663915, 622, 393, 408, 1019
32667251, 602, 405, 392, 1015
32670587, 603, 381, 380, 1023
32673923, 592, 332, 373, 1021
32677260, 607, 372, 403, 1014
32680596, 604, 396, 378, 1023
32683943, 602, 394, 390, 1023
32687279, 603, 384, 350, 1023
32690615, 604, 379, 362, 1023
32693951, 600, 383, 379, 1023
32697287, 605, 382, 363, 1023
32700623, 610, 384, 377, 1023
32703960, 604, 394, 387, 1022
32707296, 618, 378, 385, 1016
32710632, 597, 392, 402, 1023
32713968, 627, 397, 420, 1014
32717304, 604, 400, 398, 1022
32720640, 608, 373, 380, 1023
32723976, 633, 371, 379, 1023
32727313, 599, 383, 397, 1023
32730649, 594, 410, 413, 1022
32733985, 605, 398, 402, 1021
32737321, 604, 379, 396, 1017
32740658, 604, 379, 379, 1023
32743994, 588, 382, 385, 1017
32747332, 618, 400, 393, 1022
32750670, 603, 391, 402, 1023
32754006, 602, 385, 391, 1023
32757342, 604, 385, 390, 1023
32760678, 602, 397, 405, 1017
32764021, 602, 416, 424, 1023
32767359, 603, 421, 416, 1023
32770695, 602, 398, 400, 1023
32774031, 602, 391, 394, 1023
32777368, 603, 401, 392, 1023
32780704, 588, 418, 411, 1014
32784040, 603, 413, 408, 1023
32787376, 599, 396, 396, 1018
32790713, 603, 389, 384, 1020
32794049, 599, 384, 401, 1023
32797385, 603, 393, 397, 1023
32800721, 604, 354, 383, 1023
32804057, 599, 356, 332, 1023
32807393, 600, 364, 376, 1017
32810730, 613, 346, 391, 1023
32814066, 624, 399, 413, 1023
32817402, 596, 402, 415, 1023
32820738, 601, 379, 374, 1023
32824075, 606, 355, 379, 1023
32827411, 605, 335, 382, 1016
32830747, 602, 393, 382, 1023
32834083, 598, 409, 379, 1023
32837419, 602, 393, 375, 1023
32840755, 602, 375, 387, 1023
32844092, 602, 399, 384, 1023
32847428, 609, 410, 413, 1023
32850775, 604, 408, 410, 1023
32854111, 593, 381, 386, 1023
32857447, 610, 371, 377, 1023
32860783, 602, 400, 408, 1021
32864119, 593, 395, 399, 1023
32867456, 600, 404, 390, 1019
32870792, 605, 371, 378, 1023
32874128, 604, 372, 376, 1023
32877464, 594, 396, 355, 1023
32880800, 613, 392, 380, 1023
32884137, 602, 409, 380, 1017
32887473, 604, 376, 373, 1023
32890809, 603, 385, 379, 1023
32894145, 599, 390, 393, 1022
32897481, 611, 416, 410, 1023
32900817, 604, 393, 392, 1017
32904154, 609, 378, 374, 1015
32907490, 586, 376, 371, 1018
32910826, 603, 378, 386, 1015
32914162, 607, 394, 396, 1018
32917500, 601, 403, 390, 1023
32920837, 602, 400, 388, 1023
32924173, 602, 388, 385, 1018
32927509, 607, 385, 405, 1023
32930846, 603, 407, 402, 1023
